matrix_name,real_gflops,friend_gflops
scircuit,122.814549,99.484115
mac_econ_fwd500,133.759349,127.669141
raefsky3,154.308458,154.687812
rgg_n_2_17_s0,148.361767,158.116645
bbmat,171.412732,174.751308
appu,159.310867,154.282917
mc2depi,163.670901,178.852041
rma10,199.966392,192.952555
cop20k_A,171.211574,128.570000
thermomech_dK,176.652681,141.838317
webbase-1M,135.921569,152.654984
cant,274.027831,276.929273
ASIC_680k,149.466221,81.987175
roadNet-TX,172.686916,127.119391
pdb1HYS,248.215551,262.395632
TSOPF_RS_b300_c3,262.455340,241.931128
Chebyshev4,247.503728,252.898578
consph,266.233168,256.894892
com-Youtube,41.334034,66.675114
rajat30,173.621711,78.450509
radiation,208.999781,89.407590
Stanford_Berkeley,131.546211,127.373279
shipsec1,281.950202,267.594572
PR02R,267.278474,259.583862
CurlCurl_2,243.180032,227.593673
gupta3,268.037805,261.228596
mip1,241.888294,235.534881
rail4284,72.074808,87.622133
pwtk,258.404940,244.827783
crankseg_2,208.857729,165.702021
Si41Ge41H72,187.042277,149.702297
TSOPF_RS_b2383,182.634272,156.277443
in-2004,108.342639,108.419663
Ga41As41H72,121.251810,110.339831
eu-2005,105.883059,81.095986
wikipedia-20051105,46.936371,35.258983
kron_g500-logn18,63.700547,72.165984
rajat31,71.705772,150.233657
human_gene1,87.085721,126.430088
delaunay_n22,43.350935,52.268072
GL7d20,34.199483,35.105727
sx-stackoverflow,30.472040,36.845892
dgreen,58.068050,38.542076
ldoor,67.132774,63.006532
dielFilterV2real,68.528417,52.829848
circuit5M,53.511330,44.754504
soc-LiveJournal1,29.923602,43.846707
bone010,80.769354,73.025961
audikw_1,58.694117,50.004550
cage15,54.163364,56.453816
