matrix_name,real_gflops,friend_gflops
scircuit,135.290068,131.336486
mac_econ_fwd500,161.761814,167.096376
raefsky3,195.890526,187.057093
rgg_n_2_17_s0,172.854127,181.063991
bbmat,216.697896,214.467515
appu,188.017857,184.843750
mc2depi,194.177607,208.000396
rma10,263.076352,255.937068
cop20k_A,102.963395,231.208392
thermomech_dK,246.725728,233.418963
webbase-1M,230.517815,222.990899
cant,300.313474,291.776297
ASIC_680k,254.990319,201.505969
roadNet-TX,231.636933,215.550272
pdb1HYS,311.765571,309.423159
TSOPF_RS_b300_c3,323.376978,300.741575
Chebyshev4,359.476003,316.953565
consph,342.126594,346.559037
com-Youtube,248.968667,260.969471
rajat30,311.510139,252.421539
radiation,258.169551,233.764508
Stanford_Berkeley,383.463592,338.425737
shipsec1,381.216042,384.324803
PR02R,385.800151,389.276942
CurlCurl_2,367.091384,354.936028
gupta3,433.244749,449.781540
mip1,445.014572,441.567776
rail4284,456.178525,418.696757
pwtk,434.639271,435.005199
crankseg_2,467.638088,475.713657
Si41Ge41H72,461.033937,450.834225
TSOPF_RS_b2383,519.372077,503.987076
in-2004,432.440005,458.246886
Ga41As41H72,487.565295,483.123249
eu-2005,472.933222,472.274229
wikipedia-20051105,269.968812,257.129178
kron_g500-logn18,280.090885,264.964841
rajat31,302.541294,310.692432
human_gene1,495.613207,409.660419
delaunay_n22,323.766699,328.275546
GL7d20,252.509495,251.598039
sx-stackoverflow,249.816947,269.395608
dgreen,284.096746,279.881152
ldoor,544.810697,543.023795
dielFilterV2real,524.314639,477.672994
circuit5M,349.485034,274.882208
soc-LiveJournal1,319.581325,334.562631
bone010,568.852592,568.412279
audikw_1,564.527212,560.079811
cage15,440.651879,440.422370
